Date,Close,High,Low,Open,Volume
7/1/2015,45.69008255,45.77145436,45.13573891,45.64431191,227935
7/2/2015,45.8324852,46.28002855,45.51717064,45.51717064,355778
7/5/2015,46.7224884,46.91574365,45.77145832,45.77145832,325948
7/6/2015,47.80574417,48.18717477,46.66145884,46.66145884,913718
7/7/2015,46.71740723,47.93289505,46.53432142,47.80574935,219957
7/8/2015,47.23614502,47.29717469,46.78860164,46.78860164,230495
7/9/2015,46.67672348,47.29718003,46.53432198,47.29718003,402343
7/12/2015,46.66654968,47.04289074,46.66146334,46.78860581,142107
7/13/2015,46.9157486,47.29717923,46.9157486,47.04289107,141882
7/14/2015,47.35311508,47.55145666,47.17002931,47.17002931,229453
7/15/2015,47.68369293,48.82289526,47.29717918,47.42432165,563993
7/19/2015,47.68369293,47.68369293,47.68369293,47.68369293,0
7/20/2015,47.68369293,47.68369293,47.68369293,47.68369293,0
7/21/2015,47.68369293,47.68369293,47.68369293,47.68369293,0
7/22/2015,48.44655228,48.56860841,47.42432293,47.42432293,173028
7/23/2015,48.59403229,48.9500344,48.18717641,48.18717641,163979
7/26/2015,48.42621231,48.5686106,48.31432564,48.31432564,146431
7/27/2015,47.30226135,48.56860281,47.29717501,48.44146036,219060
7/28/2015,47.42432404,47.55146651,47.17003908,47.29718156,176293
7/29/2015,47.43449783,47.80575258,47.42432514,47.42432514,216241
7/30/2015,47.67860031,48.06003089,47.42431541,47.42431541,98135
8/2/2015,46.08677292,47.80574408,45.77145834,47.55145917,252149
8/3/2015,46.66146851,46.66146851,45.89861038,45.89861038,157912
8/4/2015,46.4071846,46.66146957,45.77146895,46.4071846,287587
8/5/2015,47.06322861,47.17002891,46.53431344,46.53431344,211474
8/6/2015,47.03779984,47.17002863,45.8985977,47.17002863,435626
8/9/2015,47.87186432,47.93289399,46.28003547,46.9157478,833715
8/10/2015,48.31431961,48.82289269,47.55146161,47.93289222,323113
8/11/2015,48.40586472,49.84003955,48.31432343,48.31432343,656039
8/12/2015,49.1178627,49.20432087,47.80574731,47.80574731,451860
8/13/2015,48.36517715,49.45860557,48.1871777,49.45860557,378637
8/16/2015,48.02951813,48.44146034,47.80574482,48.18717542,405621
8/17/2015,48.17700577,48.31432092,47.42432043,47.80574783,468432
8/18/2015,47.85152054,48.06003482,47.17003436,47.67860421,346092
8/19/2015,46.66654968,47.55146384,46.28003593,47.29717891,456879
8/20/2015,46.00540161,46.15288944,43.73717307,45.77145884,608233
8/23/2015,43.54391479,45.13574353,41.44859935,45.13574353,590568
8/24/2015,41.42825317,43.4828809,40.68573742,43.22859601,937179
8/25/2015,44.19488525,44.75431528,41.06716795,41.19431363,752841
8/26/2015,43.49306107,44.50003134,42.72003035,44.50003134,493672
8/27/2015,43.72700119,45.89860214,43.61002819,44.50002864,681498
8/30/2015,42.68443298,45.3900357,42.465746,44.62717765,359826
8/31/2015,42.69459534,43.1014544,42.08431159,43.1014544,123232
9/1/2015,43.60494232,43.73717112,42.72002505,42.8471675,315889
9/2/2015,42.95905685,43.10145834,42.46574282,43.10145834,144349
